,Date,Team,Acquired,Relinquished,Notes
29102,2/13/2019,Warriors,, DeMarcus Cousins,placed on IL
29103,2/13/2019,Warriors,, Shaun Livingston,placed on IL
29104,2/13/2019,Celtics,, Robert Williams III,placed on IL with illness
29085,2/12/2019,Celtics,, Kyrie Irving,placed on IL with strained right knee
29086,2/12/2019,Grizzlies,, Yuta Watanabe,placed on IL with ankle injury
29087,2/12/2019,Pelicans, Jahlil Okafor,,activated from IL
29088,2/12/2019,Spurs, Lonnie Walker IV,,activated from IL
29089,2/12/2019,Warriors, Andre Iguodala,,activated from IL
29073,2/11/2019,Blazers, Gary Trent Jr.,,activated from IL
29074,2/11/2019,Bucks, Giannis Antetokounmpo,,activated from IL
29075,2/11/2019,Cavaliers,, Ante Zizic,placed on IL with sore lower back
29076,2/11/2019,Hornets,, Devonte' Graham,placed on IL with illness
29077,2/11/2019,Nuggets,, Tyler Lydon,placed on IL with concussion
29078,2/11/2019,Nuggets, Paul Millsap,,activated from IL
29079,2/11/2019,Pacers, Doug McDermott,,activated from IL
29080,2/11/2019,Raptors,, Fred VanVleet,placed on IL with left thumb injury
29081,2/11/2019,Rockets, Isaiah Hartenstein,,activated from IL
29082,2/11/2019,Thunder,, Jerami Grant,placed on IL with sprained right ankle
29083,2/11/2019,Timberwolves,, Andrew Wiggins,placed on IL with illness
29084,2/11/2019,Timberwolves, Derrick Rose,,activated from IL
29069,2/10/2019,Blazers,, Gary Trent Jr.,placed on IL
29070,2/10/2019,Magic, Jonathon Simmons,,activated from IL
29071,2/10/2019,Warriors,, Andre Iguodala,placed on IL with left hamstring injury
29072,2/10/2019,Mavericks,, Salah Mejri,placed on IL
29057,2/9/2019,Bucks,, Giannis Antetokounmpo,placed on IL with sore right knee
29058,2/9/2019,Bucks, Khris Middleton,,activated from IL
29059,2/9/2019,Cavaliers,, Kevin Love,placed on IL
29060,2/9/2019,Clippers, Garrett Temple,,activated from IL
29061,2/9/2019,Clippers, JaMychal Green,,activated from IL
29062,2/9/2019,Grizzlies,, Kyle Anderson,placed on IL with sore right shoulder (out for season)
29063,2/9/2019,Grizzlies, C.J. Miles,,activated from IL
29064,2/9/2019,Jazz, Thabo Sefolosha,,activated from IL
29065,2/9/2019,Raptors, Chris Boucher,,activated from IL
29066,2/9/2019,Rockets,, Isaiah Hartenstein,placed on IL
29067,2/9/2019,Grizzlies, Jonas Valanciunas,,activated from IL
29068,2/9/2019,Hawks,, Jaylen Adams,placed on IL with sprained right ankle
29045,2/8/2019,76ers, J.J. Redick,,activated from IL
29046,2/8/2019,Bucks,, Khris Middleton,placed on IL
29047,2/8/2019,Cavaliers, Kevin Love,,activated from IL
29048,2/8/2019,Knicks, Isaiah Hicks,,activated from IL
29049,2/8/2019,Nets, Caris LeVert,,activated from IL
29050,2/8/2019,Pelicans,, Jahlil Okafor,placed on IL with sprained left ankle
29051,2/8/2019,Pelicans, Jason Smith,,activated from IL
29052,2/8/2019,Pistons,, Jon Leuer,placed on IL
29053,2/8/2019,Pistons, Ishmael Smith / Ish Smith,,activated from IL
29054,2/8/2019,Suns, Tyler Johnson,,activated from IL
29055,2/8/2019,Pacers, Nik Stauskas,,activated from IL
29056,2/8/2019,Pelicans, Markieff Morris,,activated from IL
29036,2/7/2019,Blazers, Rodney Hood,,activated from IL
29037,2/7/2019,Celtics, Kyrie Irving,,activated from IL
29038,2/7/2019,Celtics, Robert Williams III,,activated from IL
29039,2/7/2019,Clippers, Danilo Gallinari,,activated from IL
29040,2/7/2019,Hawks, Jaylen Adams,,activated from IL
29041,2/7/2019,Spurs,, Lonnie Walker IV,placed on IL with sprained right ankle
29042,2/7/2019,Grizzlies, Omri Casspi,,activated from IL
29043,2/7/2019,Raptors,, C.J. Miles,placed on IL
29044,2/7/2019,Clippers,, JaMychal Green,placed on IL with sore left knee
29021,2/6/2019,Hornets,, (William) Tony Parker,placed on IL with strained back
29022,2/6/2019,Jazz, Raulzinho Neto / Raul Neto,,activated from IL
29023,2/6/2019,Knicks, Courtney Lee,,activated from IL
29024,2/6/2019,Mavericks, Tim Hardaway Jr.,,activated from IL
29025,2/6/2019,Mavericks, Trey Burke,,activated from IL
29026,2/6/2019,Nets,, Alan Williams,placed on IL
29027,2/6/2019,Nets, Allen Crabbe,,activated from IL
29028,2/6/2019,Nuggets,, Paul Millsap,placed on IL with sore right ankle
29029,2/6/2019,Nuggets, Jamal Murray,,activated from IL
29030,2/6/2019,Pelicans,, Elfrid Payton,placed on IL with sprained right ankle
29031,2/6/2019,Pelicans, Anthony Davis,,activated from IL
29032,2/6/2019,Pelicans, Julius Randle,,activated from IL
29033,2/6/2019,Rockets, Eric Gordon,,activated from IL
29034,2/6/2019,Raptors, Malachi Richardson,,activated from IL
29035,2/6/2019,Suns,, Tyler Johnson,placed on IL
29006,2/5/2019,76ers,, J.J. Redick,placed on IL with nausea
29007,2/5/2019,76ers,, Shake Milton,placed on IL with fractured finger
29008,2/5/2019,Blazers,, Rodney Hood,placed on IL
29009,2/5/2019,Blazers, Gary Trent Jr.,,activated from IL
29010,2/5/2019,Cavaliers,, Cedi Osman,placed on IL with sprained right ankle
29011,2/5/2019,Cavaliers,, Nik Stauskas,placed on IL with sore left knee
29012,2/5/2019,Celtics,, Kyrie Irving,placed on IL with strained left hip
29013,2/5/2019,Hornets, Cody Zeller,,activated from IL
29014,2/5/2019,Knicks,, Isaiah Hicks,placed on IL
29015,2/5/2019,Knicks, Mitchell Robinson,,activated from IL
29016,2/5/2019,Magic,, Mohamed Bamba / Mo Bamba,placed on IL with left tibia injury (out for season)
29017,2/5/2019,Pistons,, Ishmael Smith / Ish Smith,placed on IL with right adductor injury
29018,2/5/2019,Raptors,, Chris Boucher,placed on IL
29019,2/5/2019,Raptors, Kyle Lowry,,activated from IL
29020,2/5/2019,Timberwolves,, Derrick Rose,placed on IL with sore right ankle
29002,2/4/2019,Rockets,, Eric Gordon,placed on IL with sore right knee
29003,2/4/2019,Spurs,, Derrick White,placed on IL with right heel injury
29004,2/4/2019,Spurs, Lonnie Walker IV,,activated from IL
29005,2/4/2019,Wizards,, Troy Brown Jr.,placed on IL with sprained left ankle
28996,2/3/2019,Celtics,, Aron Baynes,placed on IL with bruised left foot
28997,2/3/2019,Grizzlies, Mike Conley Jr.,,activated from IL
28998,2/3/2019,Knicks,, Mitchell Robinson,placed on IL with illness
28999,2/3/2019,Knicks, DeAndre Jordan,,activated from IL
29000,2/3/2019,Knicks, Wesley Matthews / Wes Matthews Jr.,,activated from IL
29001,2/3/2019,Raptors,, Kyle Lowry,placed on IL with sore lower back
28982,2/2/2019,76ers,, Wilson Chandler,placed on IL with strained right quadriceps
28983,2/2/2019,76ers, Shake Milton,,activated from IL
28984,2/2/2019,Bucks,, Jason Smith,placed on IL with sore left knee
28985,2/2/2019,Bulls,, Jabari Parker,placed on IL for personal reasons
28986,2/2/2019,Cavaliers, David Nwaba,,activated from IL
28987,2/2/2019,Knicks,, Courtney Lee,placed on IL
28988,2/2/2019,Lakers,, LeBron James,placed on IL with strained left groin
28989,2/2/2019,Mavericks,, Tim Hardaway Jr.,placed on IL with hamstring injury
28990,2/2/2019,Mavericks,, Trey Burke,placed on IL with illness
28991,2/2/2019,Pacers,, Doug McDermott,placed on IL with rib injury
28992,2/2/2019,Pacers, Tyreke Evans,,activated from IL
28993,2/2/2019,Pistons, Ishmael Smith / Ish Smith,,activated from IL
28994,2/2/2019,Spurs,, Lonnie Walker IV,placed on IL
28995,2/2/2019,Suns, Deandre Ayton,,activated from IL
28972,2/1/2019,Celtics, Kyrie Irving,,activated from IL
28973,2/1/2019,Grizzlies,, Mike Conley Jr.,placed on IL with sore left knee
28974,2/1/2019,Grizzlies, Yuta Watanabe,,activated from IL
28975,2/1/2019,Hawks, Tyler Dorsey,,activated from IL
28976,2/1/2019,Hornets, (William) Tony Parker,,activated from IL
28977,2/1/2019,Knicks, Isaiah Hicks,,activated from IL
28978,2/1/2019,Knicks, Luke Kornet,,activated from IL
28979,2/1/2019,Nuggets,, Gary Harris,placed on IL with right adductor injury
28980,2/1/2019,Rockets, Isaiah Hartenstein,,activated from IL
28981,2/1/2019,Thunder, Terrance Ferguson,,activated from IL
28960,1/31/2019,76ers, Jonah Bolden,,activated from IL
28961,1/31/2019,Bucks, Malcolm Brogdon,,activated from IL
28962,1/31/2019,Lakers, LeBron James,,activated from IL
28963,1/31/2019,Magic,, Jonathon Simmons,placed on IL with strained abdominal
28964,1/31/2019,Magic, Isaiah Briscoe,,activated from IL
28965,1/31/2019,Magic, Melvin Frazier Jr.,,activated from IL
28966,1/31/2019,Nets, Dzanan Musa,,activated from IL
28967,1/31/2019,Pistons, Reggie Bullock,,activated from IL
28968,1/31/2019,Raptors, Chris Boucher,,activated from IL
28969,1/31/2019,Warriors, Draymond Green,,activated from IL
28970,1/31/2019,Mavericks,, DeAndre Jordan,placed on IL
28971,1/31/2019,Mavericks,, Wesley Matthews / Wes Matthews Jr.,placed on IL
28953,1/30/2019,Blazers, Damian Lillard,,activated from IL
28954,1/30/2019,Celtics,, Robert Williams III,placed on IL
28955,1/30/2019,Hawks,, Tyler Dorsey,placed on IL with bruised left knee
28956,1/30/2019,Hawks, Kent Bazemore,,activated from IL
28957,1/30/2019,Hornets,, (William) Tony Parker,placed on IL with sore right ankle
28958,1/30/2019,Pacers,, Alize Johnson,placed on IL
28959,1/30/2019,Timberwolves, Jeff Teague,,activated from IL
28943,1/29/2019,76ers,, Jonah Bolden,placed on IL with sore right Achilles
28944,1/29/2019,76ers,, Shake Milton,placed on IL
28945,1/29/2019,76ers, Jimmy Butler,,activated from IL
28946,1/29/2019,76ers, Joel Embiid,,activated from IL
28947,1/29/2019,76ers, Wilson Chandler,,activated from IL
28948,1/29/2019,Bucks,, Malcolm Brogdon,placed on IL with sternum injury
28949,1/29/2019,Magic,, Melvin Frazier Jr.,placed on IL
28950,1/29/2019,Pelicans,, Julius Randle,placed on IL with sprained right ankle
28951,1/29/2019,Pistons,, Reggie Bullock,placed on IL with sprained left ankle
28952,1/29/2019,Thunder,, Terrance Ferguson,placed on IL with back spasms
28934,1/28/2019,Celtics,, Kyrie Irving,placed on IL with strained left hip
28935,1/28/2019,Celtics, Robert Williams III,,activated from IL
28936,1/28/2019,Grizzlies, Kyle Anderson,,activated from IL
28937,1/28/2019,Heat,, Derrick Jones Jr.,placed on IL with bone bruse in right knee
28938,1/28/2019,Knicks,, Frank Ntilikina,placed on IL with groin injury
28939,1/28/2019,Knicks, Kadeem Allen,,activated from IL
28940,1/28/2019,Nets,, Spencer Dinwiddie,placed on IL with right thumb injury
28941,1/28/2019,Pacers,, Tyreke Evans,placed on IL with sore lower back
28942,1/28/2019,Warriors,, Draymond Green,placed on IL
28931,1/27/2019,Rockets, Chris Paul,,activated from IL
28932,1/27/2019,Spurs,, DeMar DeRozan,placed on IL with sore left knee
28933,1/27/2019,Suns, Richaun Holmes,,activated from IL
28917,1/26/2019,76ers,, Joel Embiid,placed on IL
28918,1/26/2019,76ers,, Wilson Chandler,placed on IL with left hamstring injury
28919,1/26/2019,76ers, Shake Milton,,activated from IL
28920,1/26/2019,Blazers,, Damian Lillard,placed on IL with sore right knee
28921,1/26/2019,Bulls,, Chandler Hutchison,placed on IL with right foot injury (out for season)
28922,1/26/2019,Celtics,, Robert Williams III,placed on IL
28923,1/26/2019,Celtics, Al Horford,,activated from IL
28924,1/26/2019,Celtics, Kyrie Irving,,activated from IL
28925,1/26/2019,Grizzlies,, Garrett Temple,placed on IL with sprained left shoulder
28926,1/26/2019,Grizzlies,, Omri Casspi,placed on IL with sore right knee
28927,1/26/2019,Hawks, Kevin Huerter,,activated from IL
28928,1/26/2019,Nuggets,, Jamal Murray,placed on IL with sprained left ankle
28929,1/26/2019,Pacers,, Victor Oladipo,placed on IL recovering from surgery on right knee to repair ruptured quadriceps tendon (out for season)
28930,1/26/2019,Pacers, Edmond Sumner,,activated from IL
28905,1/25/2019,Bucks,, Donte DiVincenzo,placed on IL with right heel injury
28906,1/25/2019,Bucks, Jason Smith,,activated from IL
28907,1/25/2019,Cavaliers, Larry Nance Jr.,,activated from IL
28908,1/25/2019,Grizzlies,, Yuta Watanabe,placed on IL
28909,1/25/2019,Knicks,, Emmanuel Mudiay,placed on IL with strained left shoulder
28910,1/25/2019,Magic,, Isaiah Briscoe,placed on IL with sprained right ankle
28911,1/25/2019,Magic, Melvin Frazier Jr.,,activated from IL
28912,1/25/2019,Nuggets, Jarred Vanderbilt,,activated from IL
28913,1/25/2019,Pistons, Andre Drummond,,activated from IL
28914,1/25/2019,Pistons, Henry Ellenson,,activated from IL
28915,1/25/2019,Suns,, De'Anthony Melton,placed on IL with sprained right ankle
28916,1/25/2019,Timberwolves,, Jeff Teague,placed on IL with sore left foot
28902,1/24/2019,Lakers, Rajon Rondo,,activated from IL
28903,1/24/2019,Pelicans,, Nikola Mirotic,placed on IL with strained right calf
28904,1/24/2019,Timberwolves, Jeff Teague,,activated from IL
28890,1/23/2019,Celtics,, Al Horford,placed on IL
28891,1/23/2019,Celtics,, Kyrie Irving,placed on IL with flu
28892,1/23/2019,Celtics, Robert Williams III,,activated from IL
28893,1/23/2019,Hawks,, Kevin Huerter,placed on IL with sore neck
28894,1/23/2019,Knicks,, Luke Kornet,placed on IL with sprained left ankle
28895,1/23/2019,Knicks, Trey Burke,,activated from IL
28896,1/23/2019,Magic,, Melvin Frazier Jr.,placed on IL
28897,1/23/2019,Magic, Aaron Gordon,,activated from IL
28898,1/23/2019,Raptors,, Chris Boucher,placed on IL
28899,1/23/2019,Raptors,, Malachi Richardson,placed on IL with sore right knee
28900,1/23/2019,Raptors, Kawhi Leonard,,activated from IL
28901,1/23/2019,Suns,, T.J. Warren,placed on IL with sore right ankle (out for season)
28885,1/22/2019,76ers,, Kostas Antetokounmpo,placed on IL
28886,1/22/2019,Mavericks, Dennis Smith Jr.,,activated from IL
28887,1/22/2019,Mavericks, Salah Mejri,,activated from IL
28888,1/22/2019,Timberwolves,, Jeff Teague,placed on IL with sore left foot
28889,1/22/2019,Rockets, Carmelo Anthony,,player returned to team
28868,1/21/2019,76ers,, Jimmy Butler,placed on IL with sprained right wrist
28869,1/21/2019,76ers, Kostas Antetokounmpo,,activated from IL
28870,1/21/2019,Blazers,, Gary Trent Jr.,placed on IL
28871,1/21/2019,Bucks,, Jason Smith,placed on IL
28872,1/21/2019,Celtics,, Robert Williams III,placed on IL
28873,1/21/2019,Jazz, Ricky Rubio,,activated from IL
28874,1/21/2019,Knicks,, Trey Burke,placed on IL with illness
28875,1/21/2019,Knicks, Enes Kanter / Enes Freedom,,activated from IL
28876,1/21/2019,Magic,, Aaron Gordon,placed on IL with sore lower back
28877,1/21/2019,Magic, Melvin Frazier Jr.,,activated from IL
28878,1/21/2019,Mavericks,, Salah Mejri,placed on IL
28879,1/21/2019,Pelicans,, Anthony Davis,placed on IL with left index finger injury
28880,1/21/2019,Pistons,, Henry Ellenson,placed on IL with sprained left ankle
28881,1/21/2019,Rockets,, Isaiah Hartenstein,placed on IL
28882,1/21/2019,Rockets, Brandon Knight,,activated from IL
28883,1/21/2019,Thunder, Alex Abrines,,activated from IL
28884,1/21/2019,Wizards, Jordan McRae,,activated from IL
28863,1/20/2019,Clippers,, Danilo Gallinari,placed on IL with lower back spasms
28864,1/20/2019,Lakers,, Lonzo Ball,placed on IL with sprained left ankle (out for season)
28865,1/20/2019,Suns,, Deandre Ayton,placed on IL with sprained left ankle
28866,1/20/2019,Suns,, Richaun Holmes,placed on IL with sprained right foot
28867,1/20/2019,Clippers, Louis Williams / Lou Williams,,activated from IL
28849,1/19/2019,Bucks, Donte DiVincenzo,,activated from IL
28850,1/19/2019,Cavaliers,, Tristan Thompson,placed on IL with sore left foot
28851,1/19/2019,Celtics, Robert Williams III,,activated from IL
28852,1/19/2019,Hawks,, Jaylen Adams,placed on IL
28853,1/19/2019,Hawks, Dewayne Dedmon,,activated from IL
28854,1/19/2019,Hawks, Jeremy Lin,,activated from IL
28855,1/19/2019,Hawks, Tyler Dorsey,,activated from IL
28856,1/19/2019,Pistons,, Andre Drummond,placed on IL with concussion
28857,1/19/2019,Pistons,, Ishmael Smith / Ish Smith,placed on IL with right adductor injury
28858,1/19/2019,Pistons, Jon Leuer,,activated from IL
28859,1/19/2019,Raptors,, Kawhi Leonard,placed on IL
28860,1/19/2019,Raptors, Malachi Richardson,,activated from IL
28861,1/19/2019,Rockets, James Ennis III,,activated from IL
28862,1/19/2019,Pistons, Henry Ellenson,,activated from IL
28842,1/18/2019,Clippers,, Louis Williams / Lou Williams,placed on IL with right hamstring injury
28843,1/18/2019,Magic,, Melvin Frazier Jr.,placed on IL
28844,1/18/2019,Magic, Mohamed Bamba / Mo Bamba,,activated from IL
28845,1/18/2019,Pistons,, Jon Leuer,placed on IL with illness
28846,1/18/2019,Timberwolves,, Tyus Jones,placed on IL with sprained left ankle
28847,1/18/2019,Warriors,, Jacob Evans,placed on IL
28848,1/18/2019,Warriors, DeMarcus Cousins,,activated from IL
28834,1/17/2019,Bulls,, Wendell Carter Jr.,placed on IL with sprained left thumb (out for season)
28835,1/17/2019,Knicks,, Kadeem Allen,placed on IL
28836,1/17/2019,Knicks, Mitchell Robinson,,activated from IL
28837,1/17/2019,Nuggets, Gary Harris,,activated from IL
28838,1/17/2019,Raptors,, Malachi Richardson,placed on IL
28839,1/17/2019,Raptors, Chris Boucher,,activated from IL
28840,1/17/2019,Thunder, Nerlens Noel,,activated from IL
28841,1/17/2019,Wizards,, Jordan McRae,placed on IL
28824,1/16/2019,Celtics,, Robert Williams III,placed on IL
28825,1/16/2019,Celtics, Aron Baynes,,activated from IL
28826,1/16/2019,Celtics, Kyrie Irving,,activated from IL
28827,1/16/2019,Celtics, Marcus Smart,,activated from IL
28828,1/16/2019,Mavericks,, Dennis Smith Jr.,placed on IL with illness
28829,1/16/2019,Pistons, Zaur Pachulia / Zaza Pachulia,,activated from IL
28830,1/16/2019,Rockets,, Brandon Knight,placed on IL with sore left knee
28831,1/16/2019,Rockets,, Danuel House Jr.,placed on IL
28832,1/16/2019,Rockets,, James Ennis III,placed on IL with left calf injury
28833,1/16/2019,Rockets, Eric Gordon,,activated from IL
28814,1/15/2019,76ers,, Shake Milton,placed on IL
28815,1/15/2019,Hawks,, Dewayne Dedmon,placed on IL with sprained left ankle
28816,1/15/2019,Hawks,, Jeremy Lin,placed on IL with illness
28817,1/15/2019,Hawks,, Tyler Dorsey,placed on IL
28818,1/15/2019,Hawks, Jaylen Adams,,activated from IL
